elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
1.01;-1.031;0.08;-0.22;0.648;0.541;-0.053
1.02;-1.031;0.082;-0.223;0.404;0.396;-0.099
1.03;-1.034;0.082;-0.224;0.122;0.244;-0.152
1.04;-1.034;0.08;-0.222;0.076;0.152;-0.13
1.05;-1.031;0.08;-0.221;0.061;0.168;-0.099
1.06;-1.031;0.079;-0.225;0.069;0.358;-0.122
1.07;-1.033;0.079;-0.22;0.015;0.305;-0.137
1.08;-1.036;0.08;-0.221;0;-0.046;-0.023
1.09;-1.037;0.081;-0.223;0.099;-0.076;0.099
1.1;-1.034;0.081;-0.219;0.221;0.061;0.069
1.11;-1.033;0.081;-0.22;0.412;0.008;0.008
1.12;-1.033;0.08;-0.219;0.61;0.061;-0.038
1.13;-1.031;0.08;-0.219;0.648;0.366;-0.152
1.14;-1.03;0.081;-0.22;0.518;0.595;-0.114
1.15;-1.031;0.078;-0.219;0.373;0.541;0
1.16;-1.038;0.078;-0.221;0.518;0.236;-0.038
1.17;-1.033;0.079;-0.222;0.572;0.175;0.137
1.18;-1.033;0.078;-0.222;0.671;0.175;0.244
1.19;-1.032;0.082;-0.22;0.816;0.213;0.236
1.2;-1.03;0.083;-0.219;0.884;0.305;0.229
1.21;-1.034;0.082;-0.219;0.93;0.221;0.13
1.22;-1.034;0.08;-0.219;0.709;-0.053;0.076
1.23;-1.032;0.08;-0.223;0.663;-0.046;0.107
1.24;-1.032;0.077;-0.224;0.64;0.206;0.122
1.25;-1.027;0.08;-0.223;0.595;0.396;0.137
1.26;-1.027;0.082;-0.222;0.457;0.572;0.191
1.27;-1.031;0.081;-0.228;0.343;0.541;0.061
1.28;-1.033;0.081;-0.231;0.335;0.328;0.076
1.29;-1.033;0.076;-0.23;0.381;0.213;0.259
1.3;-1.031;0.076;-0.226;0.709;0.297;0.267
1.31;-1.03;0.079;-0.225;1.105;0.297;0.335
1.32;-1.03;0.082;-0.222;1.143;0.366;0.259
1.33;-1.031;0.08;-0.219;1.052;0.419;0.168
1.34;-1.032;0.078;-0.222;0.877;0.434;0.168
1.35;-1.034;0.081;-0.219;0.777;0.229;0.122
1.36;-1.033;0.083;-0.218;0.389;0.114;0.038
