elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
4.32;-1.102;0.279;-0.225;0.16;93.133;-39.108
4.33;-1.101;0.196;-0.179;-15.511;98.544;-31.989
4.34;-1.112;0.148;-0.193;-16.128;98.521;-26.905
4.35;-1.114;0.115;-0.213;-4.482;92.767;-25.793
4.36;-1.083;0.125;-0.216;10.069;86.204;-24.901
4.37;-1.006;0.175;-0.174;17.546;79.253;-25.587
4.38;-0.955;0.203;-0.12;12.851;77.942;-28.88
4.39;-1;0.243;-0.091;4.558;82.325;-30.549
4.4;-1.044;0.285;-0.061;-3.178;83.506;-28.765
4.41;-1.025;0.273;-0.001;-8.453;85.816;-25.076
4.42;-1.016;0.245;0.039;-6.326;88.605;-18.605
4.43;-0.996;0.204;0.049;0.267;81.928;-8.277
4.44;-1.003;0.176;0.065;2.317;77.477;-2.264
4.45;-1.039;0.198;0.103;5.724;76.372;-2.637
4.46;-1.061;0.243;0.148;12.98;75.739;-8.659
4.47;-1.136;0.225;0.063;18.041;80.846;-17.188
4.48;-1.148;0.198;0.094;18.46;73.742;-19.261
4.49;-1.034;0.118;0.142;12.447;67.98;-21.829
4.5;-1.003;0.047;0.105;15.419;78.003;-26.197
4.51;-1.046;0.012;0.049;24.954;86.684;-29.543
4.52;-1.078;0.011;0.006;34.459;87.973;-30.404
4.53;-1.093;0.058;0.007;44.101;85.884;-29.055
4.54;-1.083;0.14;0.049;52.081;81.334;-27.393
4.55;-1.045;0.21;0.117;56.829;78.323;-28.125
4.56;-1.024;0.235;0.172;59.497;80.061;-30.938
4.57;-1.023;0.196;0.188;60.465;82.386;-34.345
4.58;-1.04;0.127;0.159;61.082;81.044;-37.416
4.59;-1.07;0.098;0.079;63.377;78.201;-39.931
4.6;-1.084;0.119;-0.011;62.485;74.139;-41.966
4.61;-1.058;0.182;-0.102;54.024;68.498;-43.201
4.62;-1.031;0.278;-0.192;43.674;62.63;-44.886
4.63;-1.051;0.36;-0.215;31.517;56.311;-46.715
4.64;-1.112;0.384;-0.167;18.369;51.341;-48.079
4.65;-1.183;0.391;-0.108;6.852;46.867;-47.851
4.66;-1.253;0.498;-0.055;-0.145;39.352;-44.413
4.67;-1.416;0.672;0.053;-0.762;30.404;-38.064
4.68;-1.706;0.729;0.268;2.95;20.305;-29.062
4.69;-1.73;0.547;0.544;1.684;-7.294;-23.88
4.7;-1.522;0.381;0.851;11.105;-39.169;-17.652
4.71;-1.365;0.37;1.168;42.043;-68.178;-13.994
4.72;-1.576;0.534;1.591;69.695;-94.52;-23.11
4.73;-0.723;0.038;1.469;38.514;-154.032;-68.62
4.74;-0.721;-0.991;0.577;57.386;38.643;-118.293
4.75;-2.633;-0.101;-0.615;104.459;143.491;7.774
4.76;-1.237;0.364;0.097;140.198;-127.485;-14.184
4.77;-1.346;0.205;-0.375;139.931;-48.773;-18.925
4.78;-1.988;0.166;-0.919;141.265;-17.149;-5.335
4.79;-1.899;0.162;-0.758;116.723;-83.11;14.306
4.8;-1.43;0.099;-0.374;76.57;-121.837;29.162
4.81;-1.264;-0.09;-0.322;35.03;-102.591;35.541
4.82;-1.495;-0.3;-0.545;11.997;-66.303;41.28
4.83;-1.619;-0.377;-0.68;11.433;-58.575;48.681
4.84;-1.46;-0.299;-0.663;23.72;-72.645;52.896
4.85;-1.339;-0.169;-0.719;34.992;-75.556;54.436
4.86;-1.259;-0.018;-0.732;35.709;-76.616;59.947
4.87;-1.194;0.082;-0.745;22.424;-75.991;67.317
4.88;-1.132;0.106;-0.788;-1.105;-73.948;75.617
4.89;-1.057;0.071;-0.798;-26.768;-74.466;84.428
4.9;-0.988;0.009;-0.777;-47.896;-76.905;91.044
4.91;-1.018;-0.031;-0.786;-61.928;-77.431;95.343
4.92;-1.051;-0.057;-0.831;-71.052;-82.782;98.102
4.93;-1.043;-0.076;-0.849;-80.259;-92.774;101.044
4.94;-1;-0.124;-0.848;-92.119;-103.704;103.514
4.95;-0.94;-0.179;-0.82;-103.941;-114.177;105.335
4.96;-0.866;-0.274;-0.792;-114.123;-124.604;105.526
4.97;-0.799;-0.424;-0.748;-118.346;-133.216;103.956
4.98;-0.742;-0.549;-0.718;-113.285;-139.261;101.197
4.99;-0.69;-0.614;-0.673;-102.37;-142.744;98.438
5;-0.681;-0.63;-0.64;-87.828;-142.858;94.078
5.01;-0.687;-0.587;-0.603;-72.98;-145.678;89.931
5.02;-0.678;-0.544;-0.523;-60.343;-150.77;86.966
5.03;-0.602;-0.52;-0.438;-47.18;-156.921;84.505
5.04;-0.46;-0.453;-0.318;-29.863;-153.521;84.177
5.05;-0.593;-0.354;-0.312;-12.325;-129.558;84.451
5.06;-0.812;-0.236;-0.333;-0.175;-123.361;88.316
5.07;-1.003;-0.12;-0.325;4.543;-131.204;96.905
5.08;-1.074;-0.002;-0.17;9.367;-154.924;107.691
5.09;-0.895;0.2;0.167;13.377;-183.316;115.419
5.1;-0.575;0.474;0.446;-1.585;-186.562;119.032
5.11;-0.178;0.607;0.752;-41.875;-159.459;110.694
5.12;0.098;0.825;1.263;-86.845;-116.311;105.678
5.13;0.111;0.963;1.806;-121.654;-69.695;86.86
5.14;-0.434;0.707;1.965;-109.832;9.268;34.398
5.15;-0.94;0.256;1.647;-66.418;69.817;-16.227
5.16;-1.007;-0.091;0.926;-46.273;80.236;-39.604
5.17;-0.725;-0.139;0.334;-33.155;72.965;-39.848
5.18;-0.548;-0.088;-0.021;-10.076;89.787;-41.075
5.19;-0.823;-0.066;-0.357;6.646;128.681;-41.684
5.2;-1.602;0.025;-0.432;16.037;167.858;-40.084
5.21;-2.864;0.26;-0.091;13.445;194.428;-40.869
5.22;-3.073;0.324;0.725;5.396;99.024;-51.905
5.23;-2.108;0.022;0.933;4.627;-11.951;-24.314
5.24;-0.622;-0.41;0.206;-4.886;-67.675;-7.835
5.25;0.187;-0.124;-0.217;22.652;-8.62;9.459
5.26;-0.192;0.393;-0.672;51.258;105.785;0.312
5.27;-0.568;0.276;-1.011;26.463;119.809;-46.867
5.28;-0.749;0.037;-0.806;5.61;90.556;-56.951
5.29;-0.966;0.01;-0.578;-10.457;91.303;-39.261
5.3;-1.417;0.243;-0.557;-1.395;117.797;-17.927
5.31;-1.756;0.26;-0.509;-3.681;108.88;-8.026
5.32;-1.498;-0.111;-0.302;-13.811;73.521;-11.402
5.33;-1.125;-0.304;-0.176;-0.099;59.291;-14.428
5.34;-0.816;-0.256;-0.127;27.287;58.384;-23.338
5.35;-0.857;-0.005;-0.231;48.049;77.53;-33.75
5.36;-1.056;0.238;-0.325;50.556;90.473;-41.494
5.37;-1.181;0.366;-0.338;35.617;93.689;-42.165
5.38;-1.172;0.336;-0.312;12.294;93.354;-37.881
5.39;-1.124;0.238;-0.316;-3.826;95.373;-31.479
5.4;-1.106;0.172;-0.33;-6.166;95.03;-27.165
5.41;-1.097;0.085;-0.323;-1.174;89.87;-27.21
5.42;-1.104;0;-0.302;9.322;85.053;-27.889
5.43;-1.092;0.034;-0.253;22.248;79.893;-26.197
5.44;-1.056;0.133;-0.171;26.22;75.724;-25.747
5.45;-1.041;0.233;-0.097;20.922;75.831;-26.288
5.46;-1.007;0.325;-0.058;13.521;77.386;-25.579
5.47;-0.961;0.371;-0.001;10.709;82.302;-22.691
5.48;-0.99;0.388;0.06;15.816;85.572;-14.2
5.49;-1.015;0.36;0.101;20.77;77.591;-3.095
5.5;-1.034;0.363;0.177;18.544;69.2;1.898
5.51;-1.024;0.377;0.265;18.445;63.872;-1.075
5.52;-1.045;0.33;0.254;23.117;64.954;-9.299
5.53;-1.088;0.257;0.188;27.668;62.515;-16.814
5.54;-1.014;0.216;0.211;28.491;56.128;-20.236
5.55;-0.934;0.151;0.183;26.471;65.511;-23.407
5.56;-0.95;0.07;0.066;27.302;83.178;-26.509
5.57;-1.012;0.006;-0.036;32.081;93.064;-28.902
5.58;-1.075;-0.017;-0.073;40.107;91.593;-29.657
5.59;-1.061;0.01;-0.029;48.941;80.145;-28.91
5.6;-1.004;0.085;0.014;56.829;71.692;-28.216
5.61;-0.964;0.167;0.05;62.988;70.053;-27.95
5.62;-0.963;0.21;0.074;66.509;70.48;-28.003
5.63;-0.992;0.235;0.073;68.011;70.579;-27.957
5.64;-1.019;0.286;0.052;68.491;70.846;-27.591
5.65;-1.044;0.3;0.009;67.104;72.637;-28.666
5.66;-1.023;0.259;-0.051;64.741;72.79;-33.361
5.67;-0.997;0.255;-0.127;61.974;70.861;-39.268
5.68;-1.023;0.294;-0.174;53.178;66.951;-42.569
5.69;-1.073;0.311;-0.176;39.078;62.47;-44.116
5.7;-1.094;0.282;-0.159;24.482;57.973;-44.466
5.71;-1.129;0.232;-0.143;12.378;54.611;-43.537
5.72;-1.209;0.185;-0.113;4.909;50.526;-41.12
5.73;-1.277;0.162;-0.038;4.184;42.706;-38.087
5.74;-1.302;0.195;0.062;9.741;33.262;-35.373
5.75;-1.281;0.338;0.16;18.003;21.883;-32.759
5.76;-1.274;0.539;0.252;26.463;10.221;-29.947
5.77;-1.524;0.613;0.413;37.774;6.692;-25.389
5.78;-1.793;0.509;0.707;51.593;-8.643;-19.962
5.79;-1.675;0.413;1.115;73.331;-56.73;-13.361
5.8;-1.514;0.508;1.549;89.642;-110.907;-18.78
5.81;-0.833;0.231;1.202;55.755;-152.431;-63.453
5.82;-0.89;-0.604;0.949;95.015;4.558;-114.322
5.83;-2.634;-0.014;-0.329;100.152;125.076;-15.183
5.84;-1.144;0.201;0.117;109.024;-137.95;-18.034
5.85;-1.136;0.323;-0.148;131.585;-68.712;-16.402
5.86;-1.738;0.294;-0.772;135.457;-15.808;-16.471
5.87;-2.073;0.264;-1.006;114.68;-44.817;-0.305
5.88;-1.644;0.207;-0.649;81.463;-111.052;16.944
5.89;-1.286;0.069;-0.433;39.345;-112.401;27.439
5.9;-1.309;-0.129;-0.474;4.024;-81.921;33.605
5.91;-1.53;-0.316;-0.639;-10.412;-60.236;38.567
5.92;-1.55;-0.33;-0.695;-2.835;-66.22;42.881
5.93;-1.364;-0.264;-0.726;10.404;-76.7;43.788
5.94;-1.201;-0.124;-0.701;19.55;-78.941;46.448
5.95;-1.127;-0.006;-0.708;16.951;-76.265;51.799
5.96;-1.094;0.032;-0.733;2.393;-73.88;57.172
5.97;-1.056;0.039;-0.754;-18.468;-73.613;66.044
5.98;-1.013;0.014;-0.773;-38.087;-75.564;75.556
5.99;-1.016;-0.022;-0.78;-51.448;-78.285;80.77
6;-1.031;-0.051;-0.786;-60.64;-83.14;84.581
6.01;-1.044;-0.07;-0.813;-68.62;-89.2;88.095
6.02;-0.995;-0.097;-0.8;-79.512;-98.758;91.258
6.03;-0.947;-0.14;-0.778;-92.851;-106.829;93.041
6.04;-0.906;-0.222;-0.757;-104.703;-114.703;93.506
6.05;-0.861;-0.326;-0.733;-110.465;-122.721;92.843
6.06;-0.832;-0.459;-0.71;-108.064;-128.338;90.793
6.07;-0.796;-0.511;-0.706;-99.474;-134.207;90.29
6.08;-0.748;-0.521;-0.705;-90.511;-139.078;89.413
6.09;-0.699;-0.532;-0.697;-78.941;-142.912;85.198
6.1;-0.66;-0.503;-0.656;-65.076;-145.701;79.367
6.11;-0.668;-0.458;-0.609;-56.052;-142.309;77.736
6.12;-0.595;-0.416;-0.493;-49.886;-141.837;80.076
6.13;-0.535;-0.346;-0.372;-38.72;-130.541;84.39
6.14;-0.701;-0.255;-0.345;-25.892;-112.47;87.66
6.15;-0.893;-0.133;-0.327;-19.421;-112.325;87.607
6.16;-1.052;-0.019;-0.258;-22.927;-125.297;87.98
6.17;-1.08;0.04;-0.027;-32.294;-147.881;93.041
6.18;-0.979;0.128;0.226;-40.396;-162.066;101.677
6.19;-0.667;0.362;0.514;-50.381;-172.607;108.88
6.2;-0.237;0.628;1.027;-72.492;-164.52;110.213
6.21;0.096;0.896;1.481;-114.451;-133.331;114.322
6.22;0.062;0.833;1.872;-132.698;-73.155;92.409
6.23;-0.518;0.476;2.079;-92.226;12.218;32.79
6.24;-0.898;0.034;1.557;-44.207;60.77;-17.995
6.25;-0.805;-0.089;0.779;-23.963;71.517;-37.645
6.26;-0.665;-0.023;0.025;-15.183;87.63;-36.303
6.27;-0.591;0.061;-0.39;3.91;107.858;-35.526
6.28;-0.646;0.05;-0.593;13.308;124.931;-38.674
6.29;-0.677;0.159;-0.336;-0.29;124.817;-44.078
6.3;-0.994;-0.118;-0.61;-61.143;185.602;-67.256
6.31;-2.934;-0.297;-1.311;-44.413;249.604;-31.905
6.32;-3.537;0.643;0.101;70.556;66.067;-13.079
6.33;-1.886;0.236;1.099;12.851;-100.968;-28.498
6.34;-0.47;-0.106;0.937;-39.909;-94.756;-8.841
6.35;0.119;-0.154;0.289;-46.227;24.52;3.262
6.36;-0.732;0.469;-0.33;-12.378;181.28;21.905
6.37;-0.835;0.24;-0.456;-36.502;135.945;-25.274
6.38;-1.046;-0.456;-0.502;-48.887;121.166;-53.102
6.39;-1.448;-0.661;-0.557;-21.944;115.587;-39.07
6.4;-1.496;-0.203;-0.457;38.956;82.309;-19.931
6.41;-1.314;0.176;-0.406;76.014;64.436;-9.146
6.42;-1.081;0.217;-0.412;83.483;58.628;-14.428
6.43;-0.859;0.201;-0.421;74.177;56.402;-23.361
6.44;-0.814;0.221;-0.498;54.787;72.18;-27.858
6.45;-1.021;0.226;-0.556;34.23;94.962;-33.232
6.46;-1.272;0.182;-0.508;14.032;104.718;-34.68
6.47;-1.343;0.086;-0.4;-0.312;96.883;-29.192
6.48;-1.236;-0.001;-0.251;1.128;82.828;-23.704
6.49;-1.099;0.001;-0.095;17.279;74.002;-19.466
6.5;-0.994;0.083;0.003;34.764;71.753;-19.962
6.51;-1.038;0.233;0.015;45.892;78.293;-24.505
6.52;-1.138;0.45;0.049;46.86;82.683;-26.082
6.53;-1.068;0.55;0.081;33.049;79.642;-25.945
6.54;-0.937;0.533;0.104;16.684;79.703;-20.168
6.55;-0.916;0.449;0.15;6.41;79.619;-10.32
6.56;-0.954;0.317;0.186;4.489;73.125;-1.418
6.57;-1.027;0.204;0.153;8.491;68.285;2.691
6.58;-1.043;0.169;0.102;18.011;60.663;-0.145
6.59;-0.999;0.215;0.052;32.576;56.372;-8.117
6.6;-1.003;0.265;-0.014;40.831;61.517;-16.646
6.61;-1.021;0.23;-0.071;36.73;65.93;-24.474
6.62;-1.013;0.145;-0.094;29.985;68.704;-28.354
6.63;-1;0.076;-0.095;27.66;73.323;-29.688
6.64;-1.034;0.04;-0.104;29.558;79.337;-29.649
6.65;-1.036;0.049;-0.096;32.645;78.811;-28.316
6.66;-0.999;0.091;-0.066;34.87;74.672;-26.799
6.67;-0.939;0.132;-0.042;35.8;70.77;-26.784
6.68;-0.925;0.171;-0.055;35.678;70.13;-26.471
6.69;-0.952;0.192;-0.066;34.581;69.413;-25.556
6.7;-0.979;0.196;-0.067;34.474;67.416;-25.785
6.71;-0.968;0.228;-0.069;36.806;65.457;-27.218
6.72;-0.96;0.24;-0.079;38.468;67.561;-29.36
6.73;-1.004;0.208;-0.073;38.148;72.149;-32.279
6.74;-1.056;0.156;-0.053;37.37;74.863;-35.137
6.75;-1.094;0.131;-0.034;37.111;73.948;-36.433
6.76;-1.115;0.113;-0.01;35.938;70.419;-36.479
6.77;-1.097;0.098;0.007;33.605;64.649;-36.959
6.78;-1.053;0.105;0.019;31.143;60.213;-37.668
6.79;-1.052;0.14;0.01;29.329;57.348;-39.078
6.8;-1.085;0.185;-0.002;29.337;53.941;-41.174
6.81;-1.114;0.232;-0.006;29.116;49.116;-42.53
6.82;-1.149;0.281;0;26.616;43.636;-40.381
6.83;-1.201;0.33;0.047;23.056;36.273;-34.611
6.84;-1.249;0.387;0.141;21.639;25.198;-28.933
6.85;-1.251;0.497;0.245;25.168;9.954;-25.473
6.86;-1.37;0.603;0.369;35.076;-1.326;-23.399
6.87;-1.709;0.591;0.581;52.599;-9.017;-18.78
6.88;-1.849;0.466;0.956;73.811;-41.326;-11.646
6.89;-1.594;0.398;1.469;97.203;-108.216;-9.139
6.9;-1.218;0.429;1.795;59.55;-173.59;-38.133
6.91;0.078;-0.923;1.039;53.422;-113.872;-143.201
6.92;-2.474;-0.314;-0.436;145.518;222.348;-24.604
6.93;-2.183;0.495;-0.415;150.419;-42.691;-5.671
6.94;-1.001;0.247;0.01;144.809;-127.797;-38.407
6.95;-1.654;0.267;-0.794;147.767;-18.826;-12.889
6.96;-2.052;0.275;-1.115;131.86;-43.201;0.305
6.97;-1.809;0.271;-0.806;98.468;-105.259;21.303
6.98;-1.293;0.172;-0.501;51.098;-120.328;36.311
6.99;-1.174;-0.044;-0.465;7.561;-87.995;39.718
7;-1.402;-0.276;-0.612;-12.058;-58.018;39.177
7.01;-1.458;-0.358;-0.646;-4.337;-60.991;38.788
7.02;-1.35;-0.328;-0.687;12.538;-68.582;38.941
7.03;-1.207;-0.167;-0.667;23.544;-73.072;43.148
7.04;-1.125;0.011;-0.663;21.402;-72.614;51.029
7.05;-1.135;0.059;-0.701;4.916;-69.36;56.524
7.06;-1.122;0.018;-0.715;-19.649;-68.933;64.497
7.07;-1.072;-0.046;-0.715;-42.317;-70.152;75.046
7.08;-1.039;-0.114;-0.715;-56.966;-72.851;82.248
7.09;-1.05;-0.145;-0.723;-63.895;-75.724;86.197
7.1;-1.044;-0.129;-0.754;-66.936;-80.892;88.491
7.11;-1.019;-0.099;-0.773;-71.677;-87.812;89.985
7.12;-0.971;-0.1;-0.781;-82.622;-95.968;91.113
7.13;-0.915;-0.129;-0.772;-96.364;-104.04;91.509
7.14;-0.87;-0.189;-0.764;-108.758;-111.761;91.913
7.15;-0.836;-0.29;-0.752;-116.349;-118.582;91.745
7.16;-0.828;-0.397;-0.744;-116.227;-123.438;91.38
7.17;-0.822;-0.464;-0.756;-109.657;-127.302;90.968
7.18;-0.786;-0.458;-0.754;-102.081;-132.066;90.518
7.19;-0.724;-0.431;-0.705;-94.573;-136.959;87.896
7.2;-0.665;-0.42;-0.626;-88.011;-139.809;84.451
7.21;-0.668;-0.407;-0.55;-79.87;-136.441;83.537
7.22;-0.597;-0.411;-0.412;-70.45;-135.335;83.697
7.23;-0.629;-0.37;-0.338;-55.785;-120.556;83.087
7.24;-0.77;-0.34;-0.284;-46.57;-111.761;81.09
7.25;-0.967;-0.256;-0.271;-40.274;-112.134;81.113
7.26;-1.148;-0.223;-0.254;-32.317;-128.552;85.488
7.27;-1.149;-0.165;-0.036;-12.98;-161.242;93.811
7.28;-0.886;0.056;0.37;7.035;-189.581;96.654
7.29;-0.43;0.423;0.767;2.454;-188.918;99.977
7.3;-0.108;0.638;1.062;-41.174;-136.41;103.354
7.31;-0.047;0.853;1.326;-80.534;-82.591;108.148
7.32;-0.049;0.839;1.715;-97.309;-48.453;77.157
7.33;-0.479;0.527;1.761;-73.178;19.558;20.229
7.34;-0.751;0.206;1.404;-38.011;57.462;-23.209
7.35;-0.768;0.001;0.676;-30.976;76.418;-40.03
7.36;-0.681;0.025;0.112;-22.553;88.773;-39.322
7.37;-0.639;0.074;-0.234;-7.797;100.198;-35.168
7.39;-1.364;-0.143;-0.815;-71.936;217.995;-70.343
7.4;-3.452;0.194;-1.007;-19.291;236.974;-19.535
7.41;-3.253;0.675;0.416;-77.973;-63.598;-1.151
7.42;-1.512;0.38;1.178;-83.986;82.21;12.172
7.43;-0.157;-0.041;0.894;-53.483;171.502;6.921
7.44;-0.05;-0.128;0.122;-59.2;118.216;-35.442
7.45;-0.788;0.215;-0.328;-50.267;123.194;-43.605
7.46;-0.808;-0.091;-0.389;-4.764;104.078;-26.776
7.47;-1.207;-0.534;-0.553;49.977;67.21;-12.027
7.48;-1.574;-0.565;-0.583;76.982;53.956;-7.058
7.49;-1.469;-0.162;-0.488;80.61;50.107;-15.846
7.5;-1.203;0.09;-0.469;69.939;57.241;-23.697
7.51;-0.96;0.079;-0.437;52.02;76.265;-27.919
7.52;-0.846;0.096;-0.442;32.995;90.03;-32.05
7.53;-0.939;0.162;-0.522;28.544;80.503;-22.348
7.54;-1.136;0.154;-0.538;24.108;76.601;-21.913
7.58;-1.174;0.278;-0.078;14.154;76.227;-19.748
7.59;-1.099;0.411;-0.015;7.652;81.761;-14.284
7.6;-0.936;0.431;0.007;7.454;75.861;-4.627
7.61;-0.906;0.38;0.078;12.172;65.358;5.13
7.62;-0.958;0.316;0.177;17.706;55.77;9.642
7.63;-1.019;0.279;0.215;24.146;44.444;6.387
7.64;-1.074;0.278;0.182;33.689;43.415;-0.709
7.65;-1.028;0.266;0.159;39.215;51.89;-9.085
7.66;-0.977;0.259;0.13;37.066;55.434;-16.28
7.67;-1.01;0.241;0.053;33.811;63.056;-20.739
7.68;-1.018;0.192;-0.011;35.297;69.527;-23.735
7.69;-1.041;0.118;-0.055;40.564;73.049;-24.992
7.7;-1.045;0.045;-0.078;44.512;71.631;-24.047
7.71;-1.05;0.025;-0.092;45.373;67.271;-22.256
7.72;-1.034;0.075;-0.097;43.773;63.064;-20.579
7.73;-0.999;0.152;-0.092;41.098;60.046;-19.466
7.74;-0.974;0.209;-0.081;39.901;58.453;-19.383
7.75;-0.961;0.229;-0.063;40.701;59.444;-19.992
7.76;-0.949;0.232;-0.046;42.576;63.155;-21.745
7.77;-0.942;0.23;-0.047;44.108;66.723;-24.642
7.78;-0.949;0.23;-0.062;44.863;69.177;-28.224
7.79;-0.969;0.213;-0.062;44.878;68.308;-31.761
7.8;-1.01;0.178;-0.053;44.764;65.274;-34.39
7.81;-1.039;0.137;-0.042;42.569;60.076;-35.305
7.82;-1.066;0.107;-0.048;37.279;55.152;-35.457
7.83;-1.05;0.094;-0.059;30.739;53.88;-36.357
7.84;-0.985;0.109;-0.078;26.128;53.948;-38.674
7.85;-0.979;0.149;-0.096;23.186;52.104;-41.471
7.86;-1.019;0.183;-0.117;19.863;48.887;-42.584
7.87;-1.027;0.212;-0.126;14.375;43.872;-40.572
7.88;-1.041;0.264;-0.126;10.091;37.53;-36.966
7.89;-1.077;0.305;-0.118;10.221;28.872;-33.255
7.9;-1.138;0.315;-0.07;16.128;18.811;-29.909
7.91;-1.193;0.339;0.011;27.79;12.226;-26.402
7.92;-1.242;0.437;0.099;43.3;2.157;-21.989
7.93;-1.406;0.517;0.231;61.044;-27.302;-16.029
7.94;-1.665;0.45;0.438;89.954;-75.861;-9.825
7.95;-1.699;0.288;0.754;91.768;-117.912;-23.171
7.96;-1.498;0.249;1.134;66.349;-160.854;-76.067
7.97;-1.571;0.403;1.567;127.515;51.944;-106.014
7.98;-0.583;-0.093;1.04;123.758;106.311;-13.567
7.99;-1.058;-0.653;0.595;112.241;-141.875;-35.373
8;-2.616;0.032;-0.34;136.463;-52.805;-22.546
8.01;-0.975;0.013;0.145;142.256;-21.479;-25.152
8.02;-1.159;0.243;-0.188;115.526;-36.86;-8.979
8.03;-1.604;0.339;-0.705;78.232;-95.168;14.299
8.04;-1.973;0.374;-1.103;30.053;-116.288;30.64
8.05;-1.771;0.369;-0.865;-11.014;-86.105;30.244
8.06;-1.208;0.227;-0.542;-26.105;-47.393;24.253
8.07;-1.01;-0.011;-0.51;-21.159;-47.287;24.947
8.08;-1.322;-0.216;-0.643;-8.247;-59.474;28.133
8.09;-1.469;-0.264;-0.704;0.716;-61.463;30.976
8.1;-1.368;-0.214;-0.755;-2.104;-67.691;38.598
8.11;-1.289;-0.109;-0.817;-16.997;-66.738;45.343
8.12;-1.158;0.063;-0.767;-40.312;-66.806;51.242
8.13;-1.142;0.135;-0.774;-62.416;-66.669;58.582
8.14;-1.123;0.096;-0.763;-76.494;-69.268;64.84
8.15;-1.084;0.016;-0.756;-85.511;-72.896;68.91
8.16;-1.035;-0.032;-0.746;-92.073;-76.059;70.206
8.17;-1.012;-0.044;-0.732;-99.619;-82.889;71.25
8.18;-1.027;-0.041;-0.779;-111.25;-92.508;73.979
8.19;-1.029;-0.046;-0.802;-123.415;-100.785;75.869
8.2;-0.979;-0.082;-0.777;-130.152;-105.008;75.595
8.21;-0.906;-0.155;-0.733;-128.72;-109.162;73.506
8.22;-0.883;-0.243;-0.707;-120.465;-116.944;72.706
8.23;-0.909;-0.341;-0.699;-111.814;-126.227;73.689
8.24;-0.924;-0.41;-0.698;-104.405;-134.489;74.451
8.25;-0.902;-0.472;-0.681;-99.002;-140.518;72.957
8.26;-0.842;-0.467;-0.654;-91.296;-142.881;69.459
8.27;-0.771;-0.456;-0.602;-80.473;-139.954;65.434
8.28;-0.719;-0.453;-0.525;-66.326;-131.41;64.36
8.29;-0.683;-0.468;-0.453;-53.918;-125.343;67.828
8.3;-0.739;-0.48;-0.408;-40.442;-110.991;71.197
8.31;-0.7;-0.489;-0.311;-29.002;-100.038;74.87
8.32;-0.703;-0.492;-0.24;-13.392;-105.427;78.445
8.33;-0.814;-0.536;-0.224;6.677;-109.787;81.349
8.34;-0.871;-0.511;-0.143;29.413;-110.953;87.683
8.35;-0.944;-0.405;-0.012;45.305;-107.523;96.471
8.36;-0.947;-0.154;0.152;54.954;-102.447;111.784
8.37;-0.847;0.154;0.279;48.308;-101.433;122.934
8.38;-0.734;0.507;0.399;9.512;-95.854;110.625
8.39;-0.617;0.774;0.595;-17.614;-52.957;97.63
8.4;-0.321;0.779;0.875;-13.887;4.817;66.341
8.41;-0.186;0.778;1.184;16.852;35.953;13.689
8.42;-0.417;0.688;1.271;39.101;50.998;-16.128
8.43;-0.672;0.405;1.092;39.84;61.448;-23.072
8.44;-0.773;0.211;0.691;34.062;69.078;-26.037
8.45;-0.756;0.123;0.245;28.521;79.863;-32.104
8.46;-0.729;0.125;-0.135;17.058;108.681;-41.905
8.47;-0.799;0.15;-0.457;0.549;129.954;-48.163
8.48;-1.268;0.134;-0.703;-25.061;85.015;-44.931
8.49;-2.103;0.245;-0.625;-76.905;11.052;-27.34
8.5;-2.491;0.513;-0.133;-134.047;-29.291;-1.448
8.51;-2.151;0.604;0.392;-161.418;-0.846;13.758
8.52;-1.338;0.401;0.748;-164.337;78.171;6.22
8.53;-0.631;0.315;0.613;-150.389;125.945;-17.363
8.54;-0.513;0.188;0.098;-122.744;127.439;-31.623
8.55;-0.769;-0.062;-0.192;-70.739;120.084;-23.895
8.56;-0.935;-0.326;-0.227;-8.46;102.226;-13.735
8.57;-1.121;-0.314;-0.211;39.169;76.212;-13.239
8.58;-1.207;-0.148;-0.098;66.715;45.518;-19.291
8.59;-1.146;-0.064;-0.01;77.942;28.384;-25.084
8.6;-1.003;-0.014;0.01;73.712;34.512;-26.052
8.61;-0.958;0.096;-0.022;53.575;46.258;-23.034
8.62;-1.062;0.22;-0.09;26.547;54.459;-19.817
8.63;-1.093;0.259;-0.169;4.146;64.459;-17.066
8.64;-1.01;0.248;-0.199;-7.47;76.89;-13.659
8.65;-0.951;0.241;-0.225;-9.383;86.867;-9.642
8.66;-0.966;0.241;-0.289;-5.175;85.32;-6.174
8.67;-1.066;0.236;-0.355;3.026;71.623;-6.349
8.68;-1.171;0.206;-0.38;12.363;56.212;-10.732
8.69;-1.186;0.189;-0.349;15.793;47.797;-16.052
8.7;-1.121;0.256;-0.283;8.498;47.386;-19.741
8.71;-1.032;0.369;-0.213;-7.073;49.184;-20.579
8.72;-0.992;0.45;-0.151;-20.785;46.639;-18.178
8.73;-1.028;0.442;-0.096;-25.366;38.354;-14.832
8.74;-1.083;0.342;-0.032;-21.723;31.037;-13.026
8.75;-1.081;0.237;0.04;-14.832;29.306;-12.835
8.76;-1.044;0.173;0.103;-8.239;32.043;-14.032
8.77;-1.012;0.138;0.138;-1.883;36.989;-15.968
8.78;-0.989;0.108;0.124;4.428;40.465;-17.111
8.79;-0.992;0.083;0.071;9.832;41.227;-17.233
