elapsed(s);x-axis (g);y-axis (g);z-axis (g);x-axis(deg/s);y-axis(deg/s);z-axis(deg/s)
0.99;-1.042;0.089;0.065;15.869;-5.015;-1.684
1;-1.037;0.111;0.096;15.8;-6.822;-0.579
1.01;-1.046;0.124;0.125;14.825;-7.332;0.541
1.02;-1.071;0.132;0.152;14.665;-7.546;1.761
1.03;-1.095;0.128;0.179;15.556;-9.177;3.125
1.04;-1.093;0.122;0.21;18.079;-13.643;5.457
1.05;-1.077;0.111;0.235;22.546;-19.192;7.812
1.06;-1.079;0.11;0.265;26.784;-23.986;9.748
1.07;-1.069;0.101;0.292;30.213;-27.363;9.748
1.08;-1.089;0.092;0.303;32.866;-26.509;8.91
1.09;-1.097;0.103;0.339;35.389;-28.552;8.559
1.1;-1.029;0.094;0.392;35.008;-29.809;5.282
1.11;-1.023;0.058;0.331;35.366;-20.884;1.547
1.12;-1.061;-0.002;0.273;35.389;-15.107;-1.951
1.13;-1.121;-0.037;0.234;37.774;-11.928;-3.636
1.14;-1.158;-0.037;0.227;43.575;-12.088;-4.047
1.15;-1.176;-0.028;0.185;50.823;-12.332;-2.95
1.16;-1.205;0.009;0.094;58.11;-11.09;-1.784
1.17;-1.282;0.037;0.038;64.291;-15.412;1.402
1.18;-1.255;0.029;0.067;66.09;-25.412;2.995
1.19;-1.192;-0.018;0.054;64.284;-26.364;1.692
1.2;-1.184;-0.04;0.007;66.654;-21.052;1.349
1.21;-1.201;-0.021;-0.02;70.16;-21.867;2.248
1.22;-1.22;0.031;-0.021;69.619;-26.471;4.611
1.23;-1.224;0.084;-0.039;63.582;-31.41;8.277
1.24;-1.216;0.105;-0.072;52.965;-34.032;13.544
1.25;-1.195;0.085;-0.075;42.21;-36.448;17.767
1.26;-1.187;0.062;-0.068;33.811;-38.582;20.015
1.27;-1.198;0.047;-0.063;28.064;-40.991;22.378
1.28;-1.197;0.04;-0.062;25.93;-44.284;25.091
1.29;-1.189;0.034;-0.063;26.677;-47.683;26.7
1.3;-1.168;0.051;-0.062;27.645;-51.57;28.072
1.31;-1.136;0.071;-0.058;26.73;-55.762;29.809
1.32;-1.119;0.08;-0.044;23.636;-58.956;31.776
1.33;-1.156;0.087;-0.043;19.809;-60.64;33.956
1.34;-1.166;0.092;-0.056;15.465;-64.177;37.111
1.35;-1.134;0.105;-0.056;12.721;-69.398;40.16
1.36;-1.092;0.125;-0.044;9.2;-73.834;42.309
1.37;-1.075;0.134;-0.059;2.873;-75.412;43.171
1.38;-1.064;0.134;-0.081;-3.224;-77.942;44.604
1.39;-1.015;0.136;-0.052;-7.912;-82.492;46.532
1.4;-0.98;0.16;-0.029;-11.479;-84.154;47.454
1.41;-0.949;0.189;0.007;-14.748;-85.114;47.721
1.42;-0.936;0.199;0.047;-20.343;-82.47;46.319
1.43;-0.942;0.199;0.045;-28.59;-74.733;42.95
1.44;-0.942;0.179;0.001;-37.5;-67.317;40.793
1.45;-0.931;0.207;0.031;-40.427;-66.7;41.349
1.46;-0.853;0.219;0.141;-45.488;-69.444;38.864
1.47;-0.822;0.171;0.124;-51.814;-64.139;34.535
1.48;-0.839;0.135;0.135;-50.694;-63.468;32.363
1.49;-0.83;0.104;0.212;-50.008;-66.791;29.68
1.5;-0.808;0.08;0.275;-49.962;-64.474;26.38
1.51;-0.827;0.071;0.303;-45.442;-57.264;24.596
1.52;-0.812;0.093;0.377;-38.483;-56.639;26.22
1.53;-0.748;0.139;0.486;-34.215;-55.244;27.812
1.54;-0.706;0.17;0.512;-33.598;-42.668;24.962
1.55;-0.75;0.168;0.454;-30.534;-26.715;21.082
1.56;-0.791;0.165;0.462;-23.582;-19.253;18.773
1.57;-0.783;0.129;0.51;-17.79;-15.587;15.534
1.58;-0.756;0.091;0.499;-9.947;-9.184;12.729
1.59;-0.769;0.117;0.492;1.364;-1.12;11.082
1.6;-0.778;0.164;0.478;9.505;4.954;9.36
1.61;-0.773;0.201;0.442;11.875;11.227;7.729
