epoc (ms),timestamp (+0200),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s);;;;;
1.68156E+12;2023-04-15T12.37.53.277;0.67;-3.018;-1.029;-2.05
1.68156E+12;2023-04-15T12.37.53.287;0.68;-3.773;-0.998;-1.631
1.68156E+12;2023-04-15T12.37.53.297;0.69;-3.941;-0.579;-1.753
1.68156E+12;2023-04-15T12.37.53.307;0.7;-4.39;0.145;-2.241
1.68156E+12;2023-04-15T12.37.53.317;0.71;-4.322;0.907;-2.569
1.68156E+12;2023-04-15T12.37.53.327;0.72;-3.735;0.633;-2.66
1.68156E+12;2023-04-15T12.37.53.337;0.73;-3.338;0.412;-2.348
1.68156E+12;2023-04-15T12.37.53.347;0.74;-2.53;2.104;-2.5
1.68156E+12;2023-04-15T12.37.53.357;0.75;-1.319;1.562;-2.492
1.68156E+12;2023-04-15T12.37.53.367;0.76;1.738;0.267;-2.218
1.68156E+12;2023-04-15T12.37.53.377;0.77;5.785;-0.175;-2.454
1.68156E+12;2023-04-15T12.37.53.387;0.78;9.825;-0.465;-2.957
1.68156E+12;2023-04-15T12.37.53.397;0.79;13.034;-0.686;-3.377
1.68156E+12;2023-04-15T12.37.53.407;0.8;13.864;-0.373;-3.659
1.68156E+12;2023-04-15T12.37.53.417;0.81;13.102;0.29;-4.009
1.68156E+12;2023-04-15T12.37.53.427;0.82;11.928;0.351;-4.444
1.68156E+12;2023-04-15T12.37.53.437;0.83;11.052;0.175;-4.794
1.68156E+12;2023-04-15T12.37.53.447;0.84;9.688;-0.168;-4.604
1.68156E+12;2023-04-15T12.37.53.457;0.85;7.637;0.838;-4.748
1.68156E+12;2023-04-15T12.37.53.467;0.86;6.006;1.776;-5.191
1.68156E+12;2023-04-15T12.37.53.477;0.87;3.918;1.829;-5.145
1.68156E+12;2023-04-15T12.37.53.487;0.88;2.05;2.691;-5.213
1.68156E+12;2023-04-15T12.37.53.497;0.89;0.503;2.904;-5.267
1.68156E+12;2023-04-15T12.37.53.507;0.9;0.053;2.477;-5.084
1.68156E+12;2023-04-15T12.37.53.517;0.91;0.785;2.637;-4.992
1.68156E+12;2023-04-15T12.37.53.527;0.92;2.843;2.05;-4.771
1.68156E+12;2023-04-15T12.37.53.537;0.93;5.587;1.944;-4.909
1.68156E+12;2023-04-15T12.37.53.547;0.94;8.438;1.723;-4.97
1.68156E+12;2023-04-15T12.37.53.557;0.95;10.701;1.623;-4.954
1.68156E+12;2023-04-15T12.37.53.567;0.96;12.127;0.213;-4.352
1.68156E+12;2023-04-15T12.37.53.577;0.97;13.178;-0.976;-3.476
