elapsed (s);x-axis (g);y-axis (g);z-axis (g);x-axis (deg/s);y-axis (deg/s);z-axis (deg/s)
0.99;-0.953;0.235;-0.023;18.727;69.451;25.229
1;-0.973;0.175;-0.065;26.364;70.046;24.306
1.01;-1.005;0.15;-0.096;32.104;69.909;23.689
1.02;-1.015;0.159;-0.115;35.884;70.869;23.559
1.03;-1.023;0.201;-0.134;36.791;73.224;23.521
1.04;-1.023;0.248;-0.141;33.003;76.57;23.567
1.05;-1.013;0.262;-0.154;29.184;81.258;23.003
1.06;-0.995;0.247;-0.178;30.412;86.799;22.957
1.07;-0.986;0.257;-0.209;31.258;91.608;24.779
1.08;-0.996;0.291;-0.222;27.5;93.445;26.197
1.09;-1.01;0.31;-0.225;23.712;93.338;25.122
1.1;-1.004;0.297;-0.205;23.209;94.322;22.165
1.11;-0.996;0.256;-0.192;25.884;97.149;19.131
1.12;-0.999;0.204;-0.194;29.055;100.259;16.738
1.13;-1.022;0.148;-0.187;32.309;100.991;15.709
1.14;-1.044;0.114;-0.17;34.718;100.183;16.273
1.15;-1.05;0.117;-0.146;33.369;97.973;17.988
1.16;-1.044;0.145;-0.126;30.716;95.259;19.825
1.17;-1.029;0.185;-0.112;27.95;93.689;21.006
1.18;-1.031;0.218;-0.101;26.136;93.14;21.723
1.19;-1.062;0.229;-0.087;25.709;92.294;22.088
1.2;-1.102;0.229;-0.062;24.436;89.718;22.05
1.21;-1.137;0.214;-0.036;21.73;84.238;21.326
1.22;-1.147;0.183;0.014;20.084;76.311;20.419
1.23;-1.114;0.158;0.099;19.116;70.305;20.556
1.24;-1.063;0.152;0.181;18.003;69.329;21.227
1.25;-1.038;0.153;0.208;17.37;72.645;21.707
1.26;-1.056;0.156;0.181;17.485;76.616;22.683
1.27;-1.085;0.162;0.109;20.747;78.201;23.415
1.28;-1.108;0.18;0.038;25.793;76.944;23.346
1.29;-1.137;0.218;-0.013;29.642;72.927;22.431
1.3;-1.138;0.254;-0.049;31.959;68.46;20.03
1.31;-1.113;0.257;-0.085;33.483;65.114;17.812
1.32;-1.094;0.249;-0.1;34.253;63.369;16.761
1.33;-1.11;0.245;-0.117;35.053;61.044;16.059
1.34;-1.145;0.239;-0.152;37.043;56.166;14.535
1.35;-1.176;0.221;-0.191;40.625;48.567;12.287
1.36;-1.203;0.201;-0.204;46.311;38.666;9.931
1.37;-1.216;0.234;-0.156;50.084;29.268;8.742
1.38;-1.263;0.363;-0.095;43.59;25.48;8.392
1.39;-1.481;0.405;-0.073;35.671;13.384;-0.518
1.4;-1.643;0.232;-0.022;27.599;-12.111;-16.791
1.41;-1.582;-0.028;0.15;16.608;-32.005;-32.774
1.42;-1.423;-0.314;0.303;9.169;-33.765;-45.747
1.43;-1.251;-0.622;0.315;18.971;-29.787;-47.264
1.44;-1.196;-0.726;0.343;42.332;-30.686;-40.404
1.45;-1.094;-0.59;0.294;82.02;-27.104;-33.476
1.46;-1.171;-0.338;0.205;119.139;-38.407;-28.445
1.47;-1.137;-0.032;0.149;139.085;-44.718;-21.601
1.48;-0.984;0.216;0.017;140.13;-32.851;-15.709
1.49;-1.057;0.364;-0.233;116.669;-24.39;-11.875
1.5;-1.337;0.451;-0.503;77.691;-36.098;-10.32
1.51;-1.503;0.503;-0.658;44.23;-59.253;-9.68
1.52;-1.397;0.555;-0.604;20.709;-71.166;-13.483
1.53;-1.263;0.516;-0.555;8.918;-70.838;-24.085
1.54;-1.239;0.396;-0.586;8.948;-69.992;-30.602
1.55;-1.269;0.311;-0.66;6.7;-76.052;-29.253
1.56;-1.307;0.289;-0.677;-3.803;-90.434;-25.32
1.57;-1.222;0.326;-0.602;-17.843;-97.599;-23.918
1.58;-1.183;0.408;-0.57;-33.712;-102.912;-22.843
1.59;-1.187;0.459;-0.601;-46.517;-108.994;-19.238
1.6;-1.16;0.512;-0.643;-61.997;-112.569;-15.366
1.61;-1.15;0.539;-0.653;-80.648;-116.052;-13.704
1.62;-1.143;0.505;-0.627;-96.654;-118.75;-13.872
1.63;-1.152;0.434;-0.636;-103.659;-122.195;-14.924
1.64;-1.139;0.373;-0.647;-102.149;-125.915;-16.806
1.65;-1.095;0.316;-0.602;-96.296;-128.27;-18.742
